prize_key,prize_name,sub_prize,year,laureate,full_name,citation,portion,institution,field,official_url,source
abel,Abel Prize,,2003,Jean-Pierre Serre,Jean-Pierre Serre,"""For playing a key role in shaping the modern form of many parts of mathematics, including topology , algebraic geometry and number theory .""",,Collège de France,,https://en.wikipedia.org/wiki/Abel_Prize,Wikipedia table
abel,Abel Prize,,2004,Michael Atiyah,Michael Atiyah,"""For their discovery and proof of the index theorem , bringing together topology , geometry and analysis , and their outstanding role in building new bridges between mathematics and theoretical physics .""",,University of Edinburgh ; University of Cambridge,,https://en.wikipedia.org/wiki/Abel_Prize,Wikipedia table
abel,Abel Prize,,2004,Isadore Singer,Isadore Singer,"""For their discovery and proof of the index theorem , bringing together topology , geometry and analysis , and their outstanding role in building new bridges between mathematics and theoretical physics .""",,"Massachusetts Institute of Technology ; University of California, Berkeley",,https://en.wikipedia.org/wiki/Abel_Prize,Wikipedia table
abel,Abel Prize,,2005,Peter Lax,Peter Lax,"""For his groundbreaking contributions to the theory and application of partial differential equations and to the computation of their solutions.""",,Courant Institute (NYU),,https://en.wikipedia.org/wiki/Abel_Prize,Wikipedia table
abel,Abel Prize,,2006,Lennart Carleson,Lennart Carleson,"""For his profound and seminal contributions to harmonic analysis and the theory of smooth dynamical systems .""",,Royal Institute of Technology,,https://en.wikipedia.org/wiki/Abel_Prize,Wikipedia table
abel,Abel Prize,,2007,S. R. Srinivasa Varadhan,S. R. Srinivasa Varadhan,"""For his fundamental contributions to probability theory and in particular for creating a unified theory of large deviation .""",,Courant Institute (NYU),,https://en.wikipedia.org/wiki/Abel_Prize,Wikipedia table
abel,Abel Prize,,2008,John G. Thompson,John G. Thompson,"""For their profound achievements in algebra and in particular for shaping modern group theory .""",,University of Florida,,https://en.wikipedia.org/wiki/Abel_Prize,Wikipedia table
abel,Abel Prize,,2008,Jacques Tits,Jacques Tits,"""For their profound achievements in algebra and in particular for shaping modern group theory .""",,Collège de France,,https://en.wikipedia.org/wiki/Abel_Prize,Wikipedia table
abel,Abel Prize,,2009,Mikhail Gromov,Mikhail Gromov,"""For his revolutionary contributions to geometry.""",,Institut des Hautes Études Scientifiques ; Courant Institute (NYU),,https://en.wikipedia.org/wiki/Abel_Prize,Wikipedia table
abel,Abel Prize,,2010,John Tate,John Tate,"""For his vast and lasting impact on the theory of numbers .""",,University of Texas at Austin,,https://en.wikipedia.org/wiki/Abel_Prize,Wikipedia table
abel,Abel Prize,,2011,John Milnor,John Milnor,"""For pioneering discoveries in topology , geometry , and algebra .""",,Stony Brook University,,https://en.wikipedia.org/wiki/Abel_Prize,Wikipedia table
abel,Abel Prize,,2012,Endre Szemerédi,Endre Szemerédi,"""For his fundamental contributions to discrete mathematics and theoretical computer science , and in recognition of the profound and lasting impact of these contributions on additive number theory and ergodic theory .""",,Alfréd Rényi Institute ; Rutgers University,,https://en.wikipedia.org/wiki/Abel_Prize,Wikipedia table
abel,Abel Prize,,2013,Pierre Deligne,Pierre Deligne,"""For seminal contributions to algebraic geometry and for their transformative impact on number theory , representation theory , and related fields.""",,Institute for Advanced Study,,https://en.wikipedia.org/wiki/Abel_Prize,Wikipedia table
abel,Abel Prize,,2014,Yakov Sinai,Yakov Sinai,"""For his fundamental contributions to dynamical systems , ergodic theory , and mathematical physics .""",,Princeton University ; Landau Institute for Theoretical Physics,,https://en.wikipedia.org/wiki/Abel_Prize,Wikipedia table
abel,Abel Prize,,2015,John Nash,John Nash,"""For striking and seminal contributions to the theory of nonlinear partial differential equations and its applications to geometric analysis .""",,Princeton University,,https://en.wikipedia.org/wiki/Abel_Prize,Wikipedia table
abel,Abel Prize,,2015,Louis Nirenberg,Louis Nirenberg,"""For striking and seminal contributions to the theory of nonlinear partial differential equations and its applications to geometric analysis .""",,Courant Institute (NYU),,https://en.wikipedia.org/wiki/Abel_Prize,Wikipedia table
abel,Abel Prize,,2016,Andrew Wiles,Andrew Wiles,"""For his stunning proof of Fermat's Last Theorem by way of the modularity conjecture for semistable elliptic curves, opening a new era in number theory.""",,University of Oxford,,https://en.wikipedia.org/wiki/Abel_Prize,Wikipedia table
abel,Abel Prize,,2017,Yves Meyer,Yves Meyer,"""For his pivotal role in the development of the mathematical theory of wavelets .""",,École normale supérieure Paris-Saclay,,https://en.wikipedia.org/wiki/Abel_Prize,Wikipedia table
