doc_id,prize_key,year,doc_type,laureate,field,source_url,rel_path,chars
1,nobel_physics,1901,summary,,,https://www.nobelprize.org/prizes/physics/1901/summary/,nobel_physics/text/1901_summary.txt,405
2,nobel_physics,1902,summary,,,https://www.nobelprize.org/prizes/physics/1902/summary/,nobel_physics/text/1902_summary.txt,499
3,nobel_physics,1903,summary,,,https://www.nobelprize.org/prizes/physics/1903/summary/,nobel_physics/text/1903_summary.txt,795
4,nobel_physics,1904,summary,,,https://www.nobelprize.org/prizes/physics/1904/summary/,nobel_physics/text/1904_summary.txt,407
5,nobel_physics,1905,summary,,,https://www.nobelprize.org/prizes/physics/1905/summary/,nobel_physics/text/1905_summary.txt,288
6,nobel_physics,1906,summary,,,https://www.nobelprize.org/prizes/physics/1906/summary/,nobel_physics/text/1906_summary.txt,361
7,nobel_physics,1907,summary,,,https://www.nobelprize.org/prizes/physics/1907/summary/,nobel_physics/text/1907_summary.txt,379
8,nobel_physics,1908,summary,,,https://www.nobelprize.org/prizes/physics/1908/summary/,nobel_physics/text/1908_summary.txt,326
9,nobel_physics,1909,summary,,,https://www.nobelprize.org/prizes/physics/1909/summary/,nobel_physics/text/1909_summary.txt,460
10,nobel_physics,1910,summary,,,https://www.nobelprize.org/prizes/physics/1910/summary/,nobel_physics/text/1910_summary.txt,335
11,nobel_physics,1911,summary,,,https://www.nobelprize.org/prizes/physics/1911/summary/,nobel_physics/text/1911_summary.txt,290
12,nobel_physics,1912,summary,,,https://www.nobelprize.org/prizes/physics/1912/summary/,nobel_physics/text/1912_summary.txt,362
13,nobel_physics,1913,summary,,,https://www.nobelprize.org/prizes/physics/1913/summary/,nobel_physics/text/1913_summary.txt,378
14,nobel_physics,1914,press-release,,,https://www.nobelprize.org/prizes/physics/1914/press-release/,nobel_physics/text/1914_press-release.txt,9715
15,nobel_physics,1914,summary,,,https://www.nobelprize.org/prizes/physics/1914/summary/,nobel_physics/text/1914_summary.txt,304
16,nobel_physics,1915,summary,,,https://www.nobelprize.org/prizes/physics/1915/summary/,nobel_physics/text/1915_summary.txt,470
17,nobel_physics,1916,summary,,,https://www.nobelprize.org/prizes/physics/1916/summary/,nobel_physics/text/1916_summary.txt,169
18,nobel_physics,1917,press-release,,,https://www.nobelprize.org/prizes/physics/1917/press-release/,nobel_physics/text/1917_press-release.txt,7858
19,nobel_physics,1917,summary,,,https://www.nobelprize.org/prizes/physics/1917/summary/,nobel_physics/text/1917_summary.txt,803
20,nobel_physics,1918,summary,,,https://www.nobelprize.org/prizes/physics/1918/summary/,nobel_physics/text/1918_summary.txt,824
21,nobel_physics,1919,summary,,,https://www.nobelprize.org/prizes/physics/1919/summary/,nobel_physics/text/1919_summary.txt,334
22,nobel_physics,1920,summary,,,https://www.nobelprize.org/prizes/physics/1920/summary/,nobel_physics/text/1920_summary.txt,394
23,nobel_physics,1921,summary,,,https://www.nobelprize.org/prizes/physics/1921/summary/,nobel_physics/text/1921_summary.txt,819
24,nobel_physics,1922,summary,,,https://www.nobelprize.org/prizes/physics/1922/summary/,nobel_physics/text/1922_summary.txt,344
25,nobel_physics,1923,summary,,,https://www.nobelprize.org/prizes/physics/1923/summary/,nobel_physics/text/1923_summary.txt,332
26,nobel_physics,1924,summary,,,https://www.nobelprize.org/prizes/physics/1924/summary/,nobel_physics/text/1924_summary.txt,791
27,nobel_physics,1925,summary,,,https://www.nobelprize.org/prizes/physics/1925/summary/,nobel_physics/text/1925_summary.txt,938
28,nobel_physics,1926,summary,,,https://www.nobelprize.org/prizes/physics/1926/summary/,nobel_physics/text/1926_summary.txt,367
29,nobel_physics,1927,summary,,,https://www.nobelprize.org/prizes/physics/1927/summary/,nobel_physics/text/1927_summary.txt,551
30,nobel_physics,1928,summary,,,https://www.nobelprize.org/prizes/physics/1928/summary/,nobel_physics/text/1928_summary.txt,869
31,nobel_physics,1929,summary,,,https://www.nobelprize.org/prizes/physics/1929/summary/,nobel_physics/text/1929_summary.txt,360
32,nobel_physics,1930,summary,,,https://www.nobelprize.org/prizes/physics/1930/summary/,nobel_physics/text/1930_summary.txt,371
33,nobel_physics,1931,summary,,,https://www.nobelprize.org/prizes/physics/1931/summary/,nobel_physics/text/1931_summary.txt,169
34,nobel_physics,1932,summary,,,https://www.nobelprize.org/prizes/physics/1932/summary/,nobel_physics/text/1932_summary.txt,866
35,nobel_physics,1933,summary,,,https://www.nobelprize.org/prizes/physics/1933/summary/,nobel_physics/text/1933_summary.txt,436
36,nobel_physics,1934,summary,,,https://www.nobelprize.org/prizes/physics/1934/summary/,nobel_physics/text/1934_summary.txt,208
37,nobel_physics,1935,summary,,,https://www.nobelprize.org/prizes/physics/1935/summary/,nobel_physics/text/1935_summary.txt,270
38,nobel_physics,1936,summary,,,https://www.nobelprize.org/prizes/physics/1936/summary/,nobel_physics/text/1936_summary.txt,454
39,nobel_physics,1937,summary,,,https://www.nobelprize.org/prizes/physics/1937/summary/,nobel_physics/text/1937_summary.txt,465
40,nobel_physics,1938,summary,,,https://www.nobelprize.org/prizes/physics/1938/summary/,nobel_physics/text/1938_summary.txt,423
41,nobel_physics,1939,summary,,,https://www.nobelprize.org/prizes/physics/1939/summary/,nobel_physics/text/1939_summary.txt,389
42,nobel_physics,1940,summary,,,https://www.nobelprize.org/prizes/physics/1940/summary/,nobel_physics/text/1940_summary.txt,208
43,nobel_physics,1941,summary,,,https://www.nobelprize.org/prizes/physics/1941/summary/,nobel_physics/text/1941_summary.txt,208
44,nobel_physics,1942,summary,,,https://www.nobelprize.org/prizes/physics/1942/summary/,nobel_physics/text/1942_summary.txt,208
45,nobel_physics,1943,summary,,,https://www.nobelprize.org/prizes/physics/1943/summary/,nobel_physics/text/1943_summary.txt,804
46,nobel_physics,1944,summary,,,https://www.nobelprize.org/prizes/physics/1944/summary/,nobel_physics/text/1944_summary.txt,314
47,nobel_physics,1945,summary,,,https://www.nobelprize.org/prizes/physics/1945/summary/,nobel_physics/text/1945_summary.txt,303
48,nobel_physics,1946,summary,,,https://www.nobelprize.org/prizes/physics/1946/summary/,nobel_physics/text/1946_summary.txt,397
49,nobel_physics,1947,summary,,,https://www.nobelprize.org/prizes/physics/1947/summary/,nobel_physics/text/1947_summary.txt,382
50,nobel_physics,1948,summary,,,https://www.nobelprize.org/prizes/physics/1948/summary/,nobel_physics/text/1948_summary.txt,412
51,nobel_physics,1949,summary,,,https://www.nobelprize.org/prizes/physics/1949/summary/,nobel_physics/text/1949_summary.txt,319
52,nobel_physics,1950,summary,,,https://www.nobelprize.org/prizes/physics/1950/summary/,nobel_physics/text/1950_summary.txt,396
53,nobel_physics,1951,summary,,,https://www.nobelprize.org/prizes/physics/1951/summary/,nobel_physics/text/1951_summary.txt,505
54,nobel_physics,1952,summary,,,https://www.nobelprize.org/prizes/physics/1952/summary/,nobel_physics/text/1952_summary.txt,479
55,nobel_physics,1953,summary,,,https://www.nobelprize.org/prizes/physics/1953/summary/,nobel_physics/text/1953_summary.txt,357
56,nobel_physics,1954,summary,,,https://www.nobelprize.org/prizes/physics/1954/summary/,nobel_physics/text/1954_summary.txt,542
57,nobel_physics,1955,summary,,,https://www.nobelprize.org/prizes/physics/1955/summary/,nobel_physics/text/1955_summary.txt,527
58,nobel_physics,1956,summary,,,https://www.nobelprize.org/prizes/physics/1956/summary/,nobel_physics/text/1956_summary.txt,537
59,nobel_physics,1957,summary,,,https://www.nobelprize.org/prizes/physics/1957/summary/,nobel_physics/text/1957_summary.txt,557
60,nobel_physics,1958,summary,,,https://www.nobelprize.org/prizes/physics/1958/summary/,nobel_physics/text/1958_summary.txt,585
61,nobel_physics,1959,summary,,,https://www.nobelprize.org/prizes/physics/1959/summary/,nobel_physics/text/1959_summary.txt,414
62,nobel_physics,1960,summary,,,https://www.nobelprize.org/prizes/physics/1960/summary/,nobel_physics/text/1960_summary.txt,286
63,nobel_physics,1961,summary,,,https://www.nobelprize.org/prizes/physics/1961/summary/,nobel_physics/text/1961_summary.txt,697
64,nobel_physics,1962,summary,,,https://www.nobelprize.org/prizes/physics/1962/summary/,nobel_physics/text/1962_summary.txt,310
65,nobel_physics,1963,summary,,,https://www.nobelprize.org/prizes/physics/1963/summary/,nobel_physics/text/1963_summary.txt,763
66,nobel_physics,1964,summary,,,https://www.nobelprize.org/prizes/physics/1964/summary/,nobel_physics/text/1964_summary.txt,732
67,nobel_physics,1965,summary,,,https://www.nobelprize.org/prizes/physics/1965/summary/,nobel_physics/text/1965_summary.txt,612
68,nobel_physics,1966,summary,,,https://www.nobelprize.org/prizes/physics/1966/summary/,nobel_physics/text/1966_summary.txt,320
69,nobel_physics,1967,summary,,,https://www.nobelprize.org/prizes/physics/1967/summary/,nobel_physics/text/1967_summary.txt,369
70,nobel_physics,1968,summary,,,https://www.nobelprize.org/prizes/physics/1968/summary/,nobel_physics/text/1968_summary.txt,476
71,nobel_physics,1969,summary,,,https://www.nobelprize.org/prizes/physics/1969/summary/,nobel_physics/text/1969_summary.txt,346
72,nobel_physics,1970,summary,,,https://www.nobelprize.org/prizes/physics/1970/summary/,nobel_physics/text/1970_summary.txt,686
73,nobel_physics,1971,summary,,,https://www.nobelprize.org/prizes/physics/1971/summary/,nobel_physics/text/1971_summary.txt,279
74,nobel_physics,1972,press-release,,,https://www.nobelprize.org/prizes/physics/1972/press-release/,nobel_physics/text/1972_press-release.txt,3431
75,nobel_physics,1972,summary,,,https://www.nobelprize.org/prizes/physics/1972/summary/,nobel_physics/text/1972_summary.txt,574
76,nobel_physics,1973,press-release,,,https://www.nobelprize.org/prizes/physics/1973/press-release/,nobel_physics/text/1973_press-release.txt,5654
77,nobel_physics,1973,summary,,,https://www.nobelprize.org/prizes/physics/1973/summary/,nobel_physics/text/1973_summary.txt,792
78,nobel_physics,1974,press-release,,,https://www.nobelprize.org/prizes/physics/1974/press-release/,nobel_physics/text/1974_press-release.txt,4767
79,nobel_physics,1974,summary,,,https://www.nobelprize.org/prizes/physics/1974/summary/,nobel_physics/text/1974_summary.txt,575
80,nobel_physics,1975,press-release,,,https://www.nobelprize.org/prizes/physics/1975/press-release/,nobel_physics/text/1975_press-release.txt,4932
81,nobel_physics,1975,summary,,,https://www.nobelprize.org/prizes/physics/1975/summary/,nobel_physics/text/1975_summary.txt,686
82,nobel_physics,1976,press-release,,,https://www.nobelprize.org/prizes/physics/1976/press-release/,nobel_physics/text/1976_press-release.txt,5557
83,nobel_physics,1976,summary,,,https://www.nobelprize.org/prizes/physics/1976/summary/,nobel_physics/text/1976_summary.txt,467
84,nobel_physics,1977,press-release,,,https://www.nobelprize.org/prizes/physics/1977/press-release/,nobel_physics/text/1977_press-release.txt,6308
85,nobel_physics,1977,summary,,,https://www.nobelprize.org/prizes/physics/1977/summary/,nobel_physics/text/1977_summary.txt,647
86,nobel_physics,1978,press-release,,,https://www.nobelprize.org/prizes/physics/1978/press-release/,nobel_physics/text/1978_press-release.txt,10018
87,nobel_physics,1978,summary,,,https://www.nobelprize.org/prizes/physics/1978/summary/,nobel_physics/text/1978_summary.txt,726
88,nobel_physics,1979,press-release,,,https://www.nobelprize.org/prizes/physics/1979/press-release/,nobel_physics/text/1979_press-release.txt,6657
89,nobel_physics,1979,summary,,,https://www.nobelprize.org/prizes/physics/1979/summary/,nobel_physics/text/1979_summary.txt,684
90,nobel_physics,1980,press-release,,,https://www.nobelprize.org/prizes/physics/1980/press-release/,nobel_physics/text/1980_press-release.txt,5811
91,nobel_physics,1980,summary,,,https://www.nobelprize.org/prizes/physics/1980/summary/,nobel_physics/text/1980_summary.txt,470
92,nobel_physics,1981,press-release,,,https://www.nobelprize.org/prizes/physics/1981/press-release/,nobel_physics/text/1981_press-release.txt,10601
